STT,Ten_Xa,F,Q_tb,Q_tb_kiet,sigma,X_tb,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X_nam_i,X_nam_j,h_nam_i,h_nam_j,V_reservoirs,flood_hours,X,X_mean,sigma_spi,salinity_val,K,k,H,h,W_13,w_13,M_xc,m,N,n,P_xl,P,S,S_tn,S_cham,W_18,PA,W_19,demand_increase,TC_dt,TC_nt,Z,z,P_school,p_total,Q_school,p_total_24
11,Phường Âu Cơ,13.61,85.82,22.15,84.8,65.94,61.16,44.9,45.26,5.04,67.3,38.12,21.3,78.04,30.85,35.5,66.19,32.94,20.51,21.31,21.68,31.76,24.26,79.18,28.95,25.19,20.56,34.2,52.51,1.29,91.08,66.6,82.88,68.99,64.58,80.57,40.37,4.15,5.42,18.81,34.07,97.98,87.98,18.99,81.34,1.17,57.94,61.42,59.71,8.91,58.87,78.39,37.94,62.63,56.93
12,Phường Âu Lâu,17.52,18.01,36.74,37.26,78.26,82.03,12.12,53.58,34.83,79.67,69.48,41.08,4.67,4.8,82.32,91.22,6.36,33.44,92.85,12.89,41.94,86.84,56.06,17.31,74.38,51.06,6.17,90.36,87.03,34.58,3.84,76.46,99.98,74.53,63.56,83.53,62.26,94.92,72.14,3.71,34.17,89.33,39.22,99.52,51.12,26.08,28.13,87.94,3.74,75.78,87.64,92.88,87.07,36.23
13,Phường Ba Đình,7.74,49.26,31.04,86.32,62.31,8.95,98.61,28.74,9.78,33.25,0.37,82.34,95.04,95.42,33.47,20.2,49.11,53.06,6,26.38,64.84,20.22,26.14,77.83,24.15,56.38,25.97,88.12,76.95,14.26,38.4,3.26,32.25,70.59,44.64,92.49,13.86,80.19,36.29,45.76,5.77,32,10.9,1.72,4.73,64.89,86.11,38.47,2.71,37.57,50.08,23.42,75.08,33.72
14,Phường Bá Xuyên,28.44,31.51,42.08,31.8,93.45,92.99,88.95,11.67,82.27,19.64,19.51,70.21,64.14,24.27,93.4,2.13,24.87,67.47,38.01,22.53,86.27,40.09,93.17,45.22,18.29,50.64,59.48,91.28,34.87,99.67,10.32,33.44,91.76,45.94,32.29,93.43,57.51,87.3,96.31,32.47,11.98,35.68,32.32,56.96,29.36,87.94,74.52,49,84.39,11.75,12.41,49.28,43.6,98.24
15,Phường Bắc An Phụ,24.4,51.69,10.82,23.29,96.76,73.82,29.67,99.7,22.79,82.64,18.73,26.35,6.37,65.43,17.2,30.67,15.7,16.31,0.8,69.42,40.47,59.75,49.06,76.58,83.16,1.47,74.52,89.28,25.12,91.08,58.48,99.03,70.98,0.47,98.14,42.31,57.56,42.38,84.22,28.97,13.3,85.64,94.13,38.57,99.98,42.93,27.8,41.79,29.22,0.91,73.63,18.79,55.2,90.84
16,Phường Bắc Giang,9.23,68.4,14.06,94.79,43.5,6.8,9.54,81.72,43.19,81.75,63.1,52.98,87.5,45.83,31.34,90.95,92.12,29.01,69.56,56.74,82.37,77.79,42.92,10.17,92.9,26.06,86.63,79.78,78.25,47.16,7.7,31.62,54.39,40.41,21.17,49.81,62.23,64.27,15.68,50.63,37.5,12.01,3.34,18.6,1.87,4.24,74.95,61.14,81.02,37.4,15.97,40.8,8.09,61.02
17,Phường Bắc Kạn,31.44,10.53,47.44,62.14,56.93,55.79,87.6,32.14,14.17,39.49,74.72,98.24,23.03,89.98,97.65,60.32,42.39,86.35,85.53,51.1,96.51,14.38,41.94,52.59,67.96,46.55,0.71,66.64,7.55,61.99,73.21,6.67,57.28,81.44,20.68,9.92,13.14,96.8,68.15,80.25,67.71,89.79,74.41,49.53,85.19,54.52,51.13,34.34,15.35,13.47,3.86,77.91,33.19,74.23
18,Phường Bạch Đằng,46.62,91.19,38.99,63.35,33.18,97.59,47.38,92.93,67.31,86.86,31.11,30.17,82.09,63.06,47.31,50.74,65.15,76.75,62.28,0.53,49.25,77.67,88.45,15.22,57.46,55.7,12.35,52.69,7.39,83.95,92.01,83.19,16.38,88.05,42.03,92.97,93.97,14.4,87.35,71.73,95.45,92.96,46.43,79.05,74.75,89.42,98.42,91.5,3.43,97.46,18.18,28.21,61.18,62.8
19,Phường Bạch Mai,6.07,39.12,46.43,12.42,0.2,13.88,7.35,58.8,36.75,10.79,60,78.98,62.43,51.61,52.01,29.55,20.83,28.02,1.77,33.58,28.91,38.09,86.45,24.09,68.28,32.37,70.57,74.96,28.67,82.2,98.66,56.68,86.57,29.2,15.26,43.09,36.62,12.6,5.23,4.63,92.82,20.18,98.73,54.39,87.2,75.12,57.34,98.69,48.49,34.86,50.48,76.46,46.35,52.99
20,Phường Bách Quang,26.95,41.74,66.99,91.61,91.39,29.31,38.32,53.57,33.81,4.19,27.11,5.32,84.51,43.71,41.34,2.79,72.76,92.8,24.16,17.71,52.34,62.65,12.55,46.14,54.23,94.23,57.62,12.39,10.22,48.47,95.12,62.47,89.4,3.86,50.25,97.86,69.55,26.38,62.05,96.23,96.03,58.44,96.29,17.83,50.48,8.74,99.03,92.78,47.84,18.58,72.62,13.35,24.76,56.73
21,Phường Bãi Cháy,35.64,94.9,67.16,71.11,12.48,9.75,26.3,55.37,80.6,68.3,46.47,59.13,28.34,97.5,19.15,92.64,45.37,60.08,61.93,10.68,18.09,48.39,36.54,62.05,45.98,88.62,53.44,34.59,1.65,46,89.07,68.16,15.59,80.69,48.3,22.61,63.56,7.2,56.31,59.73,82.11,94.61,82.36,93.69,21.16,81.67,95.46,32.78,86.63,24.24,69.47,3.41,84.77,17.43
22,Phường Bỉm Sơn,47.26,67.15,85.49,99,78.79,46.78,80.28,64.07,80.22,2.74,95.14,68.28,68.48,32.15,70.72,95.38,18.86,27.31,73.65,11.04,28.98,9.45,34.4,55.13,30.89,70.02,76.29,47.63,66.79,3.55,49.77,79.72,68.47,92.59,79.31,40.81,17.28,81.47,79.25,57.8,70.48,45.13,81.44,31.58,79.91,96.58,8.74,21.3,67.47,50.46,86.75,38.81,60.11,50.12
23,Phường Bình Khê,37.55,72.42,33.93,9.14,14.88,75.73,48.2,29.1,55.52,43.18,37.03,13.69,24.43,1.44,84.86,94.72,19.62,71.26,17.84,18.53,25.79,62.71,16.59,19.57,13.74,95.71,26.08,92,0.76,48.93,83.73,58.28,1.43,54.47,11.36,76.25,53.56,53.28,23.48,61.54,20.14,56.27,20.96,37.01,6.96,11.12,43.46,31.21,8.72,35.32,67.65,4.07,56.11,1.75
24,Phường Bình Thuận,32.06,25.6,42.72,96.23,39.52,61.92,44.21,8.83,69.3,40.63,86.07,60.68,9.12,58.7,17.11,10.36,22.78,91.45,94.79,35.02,47.04,42.47,95.12,52.06,50.74,62.18,24.51,68.52,58.25,96.88,87.66,53.55,20.91,12.18,97.94,47.49,29.05,12.58,79.32,92.61,89.61,65.62,14.17,83.18,74.41,84.95,27.19,30.69,74.22,17.26,81.13,79.66,17.54,10.26
25,Phường Bồ Đề,23.72,65.91,37.57,34.85,45,54.75,38.14,48.09,12.66,86.86,99.94,42.91,5.6,20.26,50.79,88.45,7.18,22.27,58.27,64,35.98,37.16,72.27,98.47,24.28,22.2,3.72,21.19,50.23,80.2,8.37,52.44,20.1,24.79,85.32,45.17,60.5,31.94,90.22,35.12,4.44,34.43,26.23,65.2,16.81,77.79,50.16,74.04,68.73,21.69,44.36,21.91,80.95,37.62
26,Phường Bồng Lai,11.24,50.41,60.5,68.52,27.08,8.57,1.53,53.82,64.41,13.78,17.7,27.04,41.5,92.5,80.82,89.33,76.85,83.14,88.52,65.04,68.81,22.95,73.09,43.45,10.06,42.93,0.45,82.96,74.99,85.97,86.2,90.49,33.92,96.08,89.23,86.56,2.67,91,4.27,7.29,6.45,14.3,79.69,42.96,44.6,18.69,85.81,46.04,25.43,55.73,26.29,82.65,77.38,3.41
27,Phường Cam Đường,43.39,76.71,5.08,10.82,5.53,5.39,33.78,72.89,70.16,39.15,72.17,3.53,43.8,54.73,83.97,18.17,96.53,61.64,8.55,76.27,25.3,27.16,50.56,72.2,37.31,75.45,54.92,16.14,93.07,8.36,7.46,70.25,54.12,91.65,48.32,90.42,16.36,4.98,83.26,47.02,57.24,19.01,80.18,41.34,64.75,60.3,79.22,71.69,79.85,38.49,45.7,57.38,92.39,89.39
28,Phường Cẩm Phả,14.45,19.03,64.38,71.05,46.42,38.29,35.04,8.47,60.84,93.28,12.11,20.57,65.23,34.65,4.42,30.53,19.92,49.69,48.23,0.48,12.26,21.36,53.74,69.09,43.57,42.9,69.87,18.1,49.72,89.3,59.61,87.93,94.67,76.86,66.69,9.55,23,62.83,58.5,89.07,15.19,96.38,72.01,64.08,27.54,44.71,95.84,79.4,4.94,43.09,38.69,35.44,61.4,78.8
29,Phường Cảnh Thụy,9.18,70.97,75.68,53.55,83.32,20.95,99.44,20.92,28.29,29.92,0.74,8.92,15.05,96.85,87.88,12.93,32.78,57.34,74.59,51.6,36.25,18.44,11.82,85.45,69.65,56.61,34.51,12.99,50.56,20.48,28.17,15.95,5.52,95.76,65.62,76.34,51.61,31.95,41.45,26.88,38.91,25.31,52.72,3.65,74.88,29.89,21.04,20.62,71.55,19.8,73.29,57.75,14.33,87.28
30,Phường Cao Xanh,29.9,80.96,64.97,57.59,61.95,55.48,2.1,40.18,67.71,96.52,3.18,80.47,41.72,36.81,24.84,91.41,86.6,63.2,10.64,56.7,78.79,34.19,66.77,25.1,83.97,44.05,13.41,30.81,10.67,23.32,73.45,72.7,38.69,71.68,98.05,49.28,74.91,57.05,2.25,11.03,18.49,99.54,78.31,99.05,87.87,23.19,14.09,60.92,30.6,74.87,36.81,94.98,95.13,12.8
31,Phường Cầu Giấy,41.78,26.73,98.82,77.38,72.24,2.75,25.08,48.45,69.68,54.8,19.25,2.83,10.85,42.98,40.78,30.81,23.07,36.61,69.55,40.91,48.69,10.38,93.74,98.29,94.8,59.22,42.83,4.02,73.55,97.27,60.26,78.52,51.4,87.82,82.29,68.7,52.28,95.87,81.02,75.36,36.14,53.32,36.87,59.57,52.05,79,20.48,16.27,16.53,40.09,77.87,8.06,40.48,87.01
32,Phường Cầu Thia,37.95,98.88,96.58,67.34,39.76,67.73,23.55,96.7,52.73,35.75,76.97,49.86,24.27,88.64,18.41,25.07,52.61,27.89,44.71,56.14,19.82,18.45,46.43,28.43,43.85,23.6,56.98,96.26,90.22,60.38,68.43,95.7,39.01,6.25,60.49,52.55,61.16,85.38,96.08,74.88,63.09,74.51,32.57,27.06,39.92,76.88,62.17,4.74,4.55,33.47,8.14,77.5,83.87,44
33,Phường Châu Sơn,43.79,16.27,71.85,20.58,6.91,22.69,24.7,76.97,70.77,35.09,14.47,47.61,35.77,42.68,99.43,46.55,93.66,59.45,92.37,60.42,18.15,16.63,84.33,78.03,4.4,71.41,96.64,14.95,4.21,82.87,96.99,60.55,13.45,89.16,82.23,5.41,81.46,53.84,75.55,75.51,69.22,74.25,75.34,44.41,47.99,72.21,63.87,92.06,41.26,81.39,78.78,33.95,89.6,37.59
35,Phường Chí Linh,8.83,40.23,39.62,53.22,35.43,97.02,76.36,71.02,87.05,14.41,17.79,51.35,9.24,24.83,68.58,9.75,14.21,39.17,87.71,67.03,78.46,69.03,7.3,41.82,94.94,68.56,25.69,91.45,32.87,49.44,98.69,34.86,56.97,9.02,93.15,64.49,35.52,49.96,31.43,18.82,46.77,52.8,18.37,57.81,93.1,93.73,12.28,86.98,9.77,67.53,22.63,23.93,96.3,71.67
36,Phường Chiềng An,43.48,28,86.59,26.28,22.43,76.12,29.07,21.58,68.05,15.09,85.66,65.88,48.49,20.86,7.44,10.68,1.52,98.46,4.94,5.19,76.74,98.08,2.01,40.78,47.8,43.17,26.16,14.86,23.71,38.98,54.6,34.25,67.86,21.15,91.34,60.34,91.93,20.1,68.5,88.86,53.76,58.29,12.54,74.1,91.03,47.03,87.27,88.61,85.03,41.55,59.79,92.41,5.27,76.31
37,Phường Chiềng Cơi,48.21,7.86,58.42,60.83,69.23,86.61,65.27,13.46,71,68.45,19.97,15.17,76.98,41.73,59.53,77.66,8.62,78.79,2.32,60.23,32.54,78.97,97.99,88.07,25.67,65.95,41.54,13.38,91.29,45.41,95.8,19.89,96.93,36.78,4.09,29.29,9.91,76.34,43.97,81.43,19.79,41.14,10.6,52.13,57.75,90.29,73.52,46.68,29.96,30.77,84.09,83.81,48.47,50.7
39,Phường Chiềng Sinh,29.56,29.86,74.29,24.08,97.85,66.57,55.21,72.27,17.48,99.44,67.53,56.86,1.8,34.42,13.65,79.07,12.74,74.32,29,58.69,54.97,56.28,60.94,22.32,88.13,80.09,74.6,81.68,82.36,40.43,6.61,25.55,92.26,33.78,89.14,5.42,58.38,4.41,14.89,70.97,47.93,30.61,47.57,9.83,28.53,55.94,58.97,6.17,36.47,79.97,6.93,84.65,45.61,54.18
40,Phường Chũ,28.16,64.38,87.56,95.49,4.86,71.09,61.05,70.34,34.29,48.62,72.66,22.61,41.18,28.45,33.3,86.73,88.22,34.65,36.13,65.06,74.88,97.73,78.38,64.95,29.53,96.28,93.92,39.95,96.15,64.27,44.44,65.6,39.34,51.32,46.73,10.84,45.78,23.33,19.61,21.45,75.13,51.13,3.23,38.04,56.55,54.51,9.11,44.45,78.32,39.49,58.5,53.78,36.1,40.64
41,Phường Chu Văn An,47.5,15.63,35.97,72.95,3.27,77.02,95.14,98.41,60.36,79.31,17.59,57.61,43.64,52.32,78.03,95.4,47.4,83.81,77.79,24.5,41.58,30.69,28.79,58.65,39.03,96.32,48.51,50.34,86.48,55.27,32.48,39.29,87.85,44.57,12.44,35.81,58,33.62,48.42,80.03,51.39,49.83,59.63,44.61,70.3,26.93,46.95,15.08,63.48,28.24,61.65,88.32,3.6,82.78
42,Phường Chương Mỹ,27.48,87.68,77.05,38.34,31.01,72.15,12.57,71.88,79.9,67.1,15.22,23.81,5.75,16.86,7.58,38.81,39.46,11.56,73.05,74.46,56.35,4.69,4.37,23.93,5.91,26.28,66.73,98.52,91.4,49.58,67.49,10.73,59.5,40.86,70.14,26.23,97.6,28.52,37.78,15.05,84.14,46.39,98.6,14.95,40.52,77.3,16.11,54.7,3.59,10.9,24.32,67.95,1.9,3.78
43,Phường Cửa Nam,43.47,4.39,56.82,6.61,50.8,68.76,12.72,18.58,94.57,53.71,91.11,17.27,50.06,14.69,18.56,39.25,30.25,93.28,37.31,78.97,88.99,32.21,9.74,44.67,93.95,62.65,52.49,56.05,84.85,36.33,61.46,38.45,79.2,77.96,98.58,50.99,40.23,65.95,92.84,72.94,49.97,61.63,80.3,57.23,17.63,29.49,70.25,16.8,95.03,86.37,46.45,37.19,17.48,14.83
44,Phường Cửa Ông,43.28,28.12,11.93,36.02,67.22,43.19,49.43,38.84,52.3,51.03,40.08,0.95,82.01,76.97,83.52,82.73,1.8,82.74,2.85,47.26,19.23,73.27,9.74,8.75,39.69,87.7,91.52,46.65,46.3,63.92,14.1,67.02,14.22,28.97,81.99,91.6,26.64,64.88,39.66,78.77,6.47,58.48,10.11,64.26,28.91,92.45,73.27,74.92,31.62,24.69,97.46,37.39,25.12,52.11
45,Phường Đa Mai,41.94,88.8,93.12,58.55,85.62,10.31,9.11,42.83,86.4,79.04,76.94,92.78,59.04,86.14,66.54,58.95,94.33,82.48,70.42,48.76,73.2,27.46,39.21,87.89,68,22.64,79.53,43.83,79.79,98.21,55.21,58.73,40.27,25.69,11.26,42.85,19.44,50.56,56.91,11,86.53,85.04,4.83,94.54,91.3,23.89,57.58,89.67,18.41,77.01,7.47,91.24,41.03,39.91
46,Phường Đại Mỗ,16.97,68.57,14.63,75.04,86.58,87.24,86.02,75.93,47.4,90.16,58.96,18.24,3.28,72.88,8.57,52.19,61.49,79.86,31.01,55.48,58.13,77.39,49.56,13.92,37.03,77.21,82.11,64.97,36.02,90.41,28.23,27.31,55.64,87.52,67.81,54.28,93.71,6.9,81.16,87.16,30.8,66.87,70.65,31.74,86.36,88.64,96.92,76.42,15.64,28.61,3.33,25.5,14.47,45.4
47,Phường Đào Viên,23.75,79.78,98.27,80.76,65.68,33.07,26.88,84.66,88.16,22.04,43.7,84.66,83.42,34.56,50.69,87.72,25.63,50.85,47.86,87.4,97.58,66.95,2.02,78.94,74.98,86.92,38.92,28.21,36.29,26.78,30.91,32.55,44.43,54.5,82.72,24.14,22.45,25.93,4.95,29.91,9.29,42.46,90.43,94.87,79.65,19.41,60.42,55.54,99.15,12.17,1.43,80.52,28.25,26.74
48,Phường Điện Biên Phủ,5.13,86.64,92.54,98.89,92.31,78.05,39.53,83.75,72.91,30.9,60.73,36.07,5.27,15.07,48.41,19.56,15.08,4.99,30.59,15.73,32.9,62.73,75.63,17.89,83.51,58.03,98.68,20.52,88.55,19.99,62.16,91.6,59.35,38.08,96.04,82.8,46.96,34.88,77.38,78.34,86.12,13.28,38.42,21.07,63.12,33.47,44.58,30.23,27.49,66.04,84.12,40.43,72.99,66.71
49,Phường Định Công,15.5,99.78,58.49,44.19,43.05,15.9,16.76,17.06,56.96,61.29,3.67,58.38,56.09,84.55,32.98,68.62,92.77,14.86,76.28,10.32,77.52,48.48,31.13,52.3,71.67,98.95,38.89,60.41,42.02,53.72,23.98,21.03,5.85,83.62,73.03,33.07,48.97,74.38,9.68,40.7,53.14,13.47,74.96,63.63,77.19,37.77,1.32,1.66,78.94,27.13,10.1,48.29,40.62,71.34
50,Phường Đồ Sơn,14.03,65.19,29.92,39.21,69.56,7.34,57.28,59.2,19.18,66.81,72.06,73.09,14.96,81.93,7.06,58.67,11.13,12.94,3.01,33.04,28.49,43.95,81.89,15.81,85.17,44.76,63.19,85.41,11.44,13.19,78.52,61.25,67.94,53.45,35.74,49.59,15.71,99,18.7,56.21,43.18,98.82,73.97,20.89,14.5,77.74,72.03,37.27,76.08,58.43,49.5,53.24,86.1,40.21
52,Phường Đoàn Kết,41.76,67.07,98.5,1.38,62.39,36.75,52.47,72.2,44.56,29.7,80.72,74.37,1.19,87.22,0.42,99.11,2.17,36.89,6.34,4.05,33.71,0.32,6.86,79.76,81.95,77.76,24.77,32.22,18.34,58.95,89.02,99.71,35.96,51.96,91.69,79.33,59.24,46.26,42.23,54.6,4.47,58.07,66.12,81.46,18.71,36.66,58.48,53.68,34.22,41.81,73.02,87.01,9.44,35.27
53,Phường Đông A,5.92,26.39,39.62,3.92,89.61,18.72,15.32,35.53,47.88,29.98,44.63,44.37,82.23,56.6,95.76,24.34,22.87,87.22,62.31,30.93,36.75,63.09,62.73,6.02,49.88,44.4,70.56,29.55,54.62,67.73,25.52,83.95,79.68,46.53,65.01,89.78,60.86,23.33,8.67,58.4,48.14,69.81,20.97,49.91,32.86,31.86,23.53,11.57,89.4,8.97,62.31,53.76,24.56,8.88
55,Phường Đống Đa,20.88,4.16,72.75,43.97,17.03,23.86,30.81,31.73,33.36,78.11,11.19,20.7,28.64,81.57,10.86,9.82,89.97,91.84,98.45,67.01,10.01,18.61,28.99,84.02,57.45,50.63,79.6,3.35,79.9,38.52,0.28,40.77,93.6,27.22,38.79,70.95,15.29,85.38,12.34,32.5,69.32,93.84,76.38,86.94,16.51,40.19,30.93,11.24,79.34,6.4,57.66,7.83,82.7,84.49
56,Phường Đông Hải,15.66,35.22,37.43,0.23,13.84,32.71,64.45,8.82,71.26,68.47,86.54,79.41,1.48,62.69,20.68,92.74,64.19,17.03,10.95,91.95,64.99,5.81,46.87,7.78,34.67,96.81,32.9,13.24,16.3,59.99,65.4,38.81,5.58,38.79,0.44,61.73,96.59,60.66,2.47,32.61,60.82,67.28,53.31,98.99,50.48,36.31,58.43,5.17,26.03,31.34,93.21,5.57,69.24,34.35
57,Phường Đông Hoa Lư,9.19,29.61,38.55,11.2,50.53,86.38,47,64.28,24.41,18.43,74.67,43.82,2.84,30.39,26.06,49.88,14.48,46.75,60.07,23.11,97.67,38.01,9.03,73.12,74.36,67.57,21.05,20.19,67.91,84.61,81.35,0.23,33.05,29.68,18.92,43.06,20.72,78.69,86.81,96.75,89.54,78.73,19.54,87.14,37.64,61.14,16.99,81.01,68.89,74.06,0.96,46.75,70.14,69.24
58,Phường Đông Kinh,49.51,80.9,30.77,82.8,65.33,50.84,23.59,60.55,1.51,54.66,47.12,34.56,49.32,90.01,97.18,89.3,81.11,70.51,48.68,47.83,67.88,16.5,25.58,10.46,45.22,97.19,19.75,29.79,80.31,26.89,11.83,78.46,93.31,54.25,60.79,3.92,25.9,18.45,58.92,5.11,83.36,4.98,86.89,74.96,30.58,87.52,66.83,73.05,38.22,40.77,90,29.38,34.48,57.45
60,Phường Đông Mai,5.18,91.69,97.92,26.07,28.91,33,87.56,60.8,49.68,86.12,38.53,70.08,53.76,23.85,35.64,2.94,62.71,60.49,53.66,98.12,80.35,58.06,54.72,87.45,12.71,48.84,14.75,71.29,85.43,66.73,2.07,3.17,42.25,99.21,34.37,75.66,80.23,74.87,68.28,3.57,85.73,81.15,49.06,85.74,5.17,14.09,86.47,71.3,95.08,40.25,77.49,14.21,86.5,29.22
61,Phường Đông Ngạc,36.35,12.43,33.73,39.8,60.11,48.12,89.65,86.65,91.74,8.59,44.64,12.04,6.81,91.79,75.21,71.06,56.38,61.17,53.22,23.14,13.2,59.05,71.74,30.44,2.33,69.58,97.81,1.09,57.16,16.55,13.33,22.99,37.95,97.77,3.7,83.56,77.21,25.9,83.74,96.78,45.06,31.7,35.75,6.91,45.29,58.01,49.76,20.14,49.5,1.48,16.18,32.56,50.41,5.6
62,Phường Đồng Nguyên,8.77,69.19,27.55,39.69,52.15,86.64,36.97,62.79,55.87,67.76,11.03,88.71,54.44,7.1,8.82,92.74,53.36,1.3,34.63,44.92,50.56,67.63,73.04,39.1,85.26,2.17,11.74,62.03,7.66,18.45,41.98,50.05,62.45,6.69,61.91,84.16,74.13,97.76,53.85,98.12,71.95,90.75,21.73,44.38,38.31,34.65,31.15,65.39,6.97,49.92,99.04,49.44,60.39,29.66
63,Phường Đông Triều,31.62,22.86,99.08,93.35,87.53,61.49,21.52,68.98,35.39,98.77,23.63,3.84,81.31,26.16,18.97,40.93,28.05,96.67,93.86,66.71,87,91.34,24.96,70.28,5.08,1.45,40.66,24.52,32.03,44.73,45.79,3.78,23.58,53.11,21.51,92.7,6.37,67.61,49.52,23.96,71.06,47.88,47.68,64.8,65.16,15.09,31.66,62.69,90.65,79.31,44.85,77.92,12.6,46.91
64,Phường Đồng Văn,43.77,87.3,88.45,56.98,28.54,35.95,78,84.96,29.44,63.34,67.73,7.71,51.11,93.89,16.37,86.67,5.15,42.95,38.31,23.17,98.88,20.53,46.9,83.64,76.1,0.25,1.28,29.02,75.3,79.86,99.62,76.75,63.27,67.87,70.37,56.65,45.17,9.83,99.88,22.81,85.54,84.6,53.02,80.2,60.13,50.39,82.58,29.99,91.95,7.2,83.18,73.72,84.12,33.71
